frame_index,timestamp_ms,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_shoulder_angle,right_shoulder_angle,trunk_tilt_proxy,left_wrist_speed,right_wrist_speed,left_ankle_speed,right_ankle_speed,pelvis_speed,shoulder_center_speed,left_elbow_angular_velocity,right_elbow_angular_velocity,left_knee_angular_velocity,right_knee_angular_velocity,left_hip_angular_velocity,right_hip_angular_velocity,motion_energy_proxy,pose_detected,visibility_mean,missing_ratio
1746,3570310187,159.36862,149.92346,,,177.10001,178.63531,26.706857,29.548843,1.4138649,5.2490832,7.0826688,0.083338907,0.070542887,0.11922651,0.45820984,223.60106,-99.421792,,,11.507002,101.28726,9.4449814,1,0.78587337,0.18181818
1747,3570310250,153.9716,147.5918,,,178.43653,178.81334,25.470852,25.384125,0.87846533,1.3281682,1.3216374,0.29260892,0.11931766,0.031549994,0.13572247,-85.667003,-37.010359,,,21.214457,2.8258486,2.2248674,1,0.78901858,0.18181818
1748,3570310312,156.14162,145.22493,,,177.24651,174.52955,23.087399,23.841902,0.57261714,0.50902718,0.63725893,0.34997893,0.24784105,0.051803502,0.37465832,35.000363,-38.175413,,,-19.193774,-69.093303,1.2104281,1,0.79192283,0.18181818
1749,3570310375,139.25101,146.34597,,,129.68314,141.17122,27.742594,46.609804,0.58134756,10.046052,13.482935,0.44774515,0.52635042,0.018745252,1.0116647,-268.10492,17.794301,,,-754.97409,-529.49726,18.152533,1,0.79808684,0.18181818
1750,3570310437,,,,,,,,,,,,,,,,,,,,,,,0,,1
1751,3570310500,,,,,,,,,,,,,,,,,,,,,,,0,,1
1752,3570310593,,,,,,,,,,,,,,,,,,,,,,,0,,1
1753,3570310656,,,,,,,,,,,,,,,,,,,,,,,0,,1
1754,3570310718,,,,,,,,,,,,,,,,,,,,,,,0,,1
1755,3570310781,,,,,,,,,,,,,,,,,,,,,,,0,,1
1756,3570310843,,,,,,,,,,,,,,,,,,,,,,,0,,1
1757,3570310906,168.81343,164.33149,,,168.566,175.35095,34.715768,35.547877,0.32691095,0.95839511,1.2026062,0.22992424,0.31221039,0.035639235,0.14890451,55.673116,33.871048,,,73.225722,64.368607,1.9274575,1,0.799844,0.18181818
1758,3570310984,152.07758,144.90865,,,,176.60329,26.014458,27.070698,0.090624587,3.9859933,4.4298012,0.31245161,0.26453754,0.084269807,0.68802533,-214.5623,-249.01087,,,,16.055645,6.6846103,1,0.79709457,0.21212121
1759,3570311046,162.98206,153.06164,,,,171.01184,25.834794,28.267174,0.35046352,0.1739074,2.008695,0.64438815,0.49634475,0.17568326,0.60141153,175.87874,131.49994,,,,-90.184823,2.3830015,1,0.7912056,0.21212121
1760,3570311109,164.91181,153.9495,,,172.78647,171.73737,25.902547,28.692461,0.083541467,0.54647377,0.16743416,0.21450594,0.24032116,0.11033737,0.13110317,30.631027,14.093005,,,,11.516439,0.87318187,1,0.79045795,0.18181818
1761,3570311187,159.60512,153.95568,,,169.1406,176.26005,25.409622,24.652081,0.60414246,0.74133254,0.20941593,0.25415097,0.16508587,0.12082532,0.82782182,-68.034517,0.079154852,,,-46.741895,57.983023,1.0435051,1,0.7935581,0.18181818
1762,3570311250,,,,,,,,,,,,,,,,,,,,,,,0,,1
1763,3570311312,,,,,,,,,,,,,,,,,,,,,,,0,,1
1764,3570311390,,,,,,,,,,,,,,,,,,,,,,,0,,1
1765,3570311453,,,,,,,,,,,,,,,,,,,,,,,0,,1
1766,3570311515,,,,,,,,,,,,,,,,,,,,,,,0,,1
1767,3570311578,,,,,,,,,,,,,,,,,,,,,,,0,,1
1768,3570311640,,,,,,,,,,,,,,,,,,,,,,,0,,1
1769,3570311703,,,,,,,,,,,,,,,,,,,,,,,0,,1
1770,3570311781,,,,,,,,,,,,,,,,,,,,,,,0,,1
1771,3570311843,,,,,,,,,,,,,,,,,,,,,,,0,,1
1772,3570311921,,,,,,,,,,,,,,,,,,,,,,,0,,1
1773,3570311984,,,,,,,,,,,,,,,,,,,,,,,0,,1
1774,3570312046,,,,,,,,,,,,,,,,,,,,,,,0,,1
1775,3570312109,,,,,,,,,,,,,,,,,,,,,,,0,,1
1776,3570312187,,,,,,,,,,,,,,,,,,,,,,,0,,1
1777,3570312250,,,,,,,,,,,,,,,,,,,,,,,0,,1
1778,3570312312,,,,,,,,,,,,,,,,,,,,,,,0,,1
1779,3570312375,,,,,,,,,,,,,,,,,,,,,,,0,,1
1780,3570312437,,,,,,,,,,,,,,,,,,,,,,,0,,1
1781,3570312515,,,,,,,,,,,,,,,,,,,,,,,0,,1
1782,3570312593,,,,,,,,,,,,,,,,,,,,,,,0,,1
1783,3570312656,,,,,,,,,,,,,,,,,,,,,,,0,,1
1784,3570312718,,,,,,,,,,,,,,,,,,,,,,,0,,1
1785,3570312781,,,,,,,,,,,,,,,,,,,,,,,0,,1
1786,3570312843,,,,,,,,,,,,,,,,,,,,,,,0,,1
1787,3570312906,,,,,,,,,,,,,,,,,,,,,,,0,,1
1788,3570312984,150.057,144.62307,,,,,,,,,,,,,,,,,,,,,1,0.77108785,0.3030303
1789,3570313046,,,,,,,,,,,,,,,,,,,,,,,0,,1
1790,3570313109,130.77504,146.60369,,,,,,,,3.9234289,6.0662335,3.8516509,1.0511609,,3.7531526,-154.25565,15.844992,,,,,9.9436528,1,0.75014371,0.3030303
1791,3570313171,132.65704,168.83492,,,,,,,,7.0071147,11.377579,0.64542639,0.64941248,,0.92412791,30.354822,358.5683,,,,,14.43594,1,0.73523924,0.3030303
1792,3570313250,106.22747,,,,,,,,,0.70784058,0.76515073,0.47696189,0.72511539,,2.718124,-334.55158,,,,,,1.7057821,1,0.70886116,0.45454545
1793,3570313312,,,,,,,,,,0.42183424,0.72638952,0.23490557,0.27738545,,0.29160909,,,,,,,1.1173133,1,0.68242885,0.54545455
1794,3570313390,,,,,,,,,,0.51977494,0.43199927,0.92050358,1.1097891,,,,,,,,,1.728977,1,0.65218279,0.96969697
